Gender Arch1 Prog1 Arch2 Prog2
M 99 98 83 94
M NA NA 86 77
M 97 97 92 93
M 99 97 95 96
M 89 92 86 94
M 91 97 91 97
M 100 88 96 85
F 86 82 89 87
M 89 88 65 84
M 85 90 83 85
M 50 91 84 93
M 96 71 56 83
F 98 80 81 94
M 96 76 59 84
M 73 72 91 87
M 67 82 80 77
M 80 85 94 72
M 91 76 85 84
M 89 81 77 81
M 77 81 88 91
M 71 82 59 79
M 84 81 88 77
M 95 83 92 63
M 3 87 56 76
F 95 65 63 82
F NA NA 91 65
M 59 79 73 82
M 95 83 49 69
M 80 80 87 72
M 97 92 98 96
M 81 89 41 57
M 77 70 51 71
M 69 74 83 68
M 82 79 57 45
F 85 66 56 67
M 87 68 56 78
M 88 76 47 61
M 83 76 41 65
M 51 67 49 79
F 76 63 57 76
M 88 64 48 53
M 61 53 54 61
M 83 60 56 49
M 90 78 81 50
M 40 67 53 68
M 92 61 47 64
M 76 69 44 59
M 72 61 62 56
F 77 53 48 60
M 58 52 50 73
M 63 62 40 48
M 48 73 74 53
M 40 75 43 52
M 40 40 48 62
M 75 67 40 45
F 49 61 49 44
M 54 47 43 52
M 56 55 44 55
M 75 40 40 51
M 64 86 50 81
F 88 40 43 83
M 82 66 51 63
M 73 64 28 54
F 59 28 60 51
M 74 57 45 61
M 45 69 35 40
M 70 52 40 43
M 74 29 44 52
M 43 25 31 14
M 49 69 40 24
M 45 29 32 25
M 74 71 40 46
M 46 56 50 28
M 56 52 42 57
M 16 33 16 9
M 21 25 26 12
M 47 56 43 16
M 77 60 47 62
M 27 40 37 6
M 74 13 40 18
F 16 14 NA NA
M 14 31 14 20
M 23 54 48 NA
M 83 76 58 75
F NA 15 16 NA
M 45 40 40 61
M 40 28 26 9
M 48 27 23 16
M 91 89 6 73
F 50 27 22 11
M 77 82 45 65
M 49 49 36 31
M 96 84 48 29
F 21 29 25 5
M 61 40 34 11
M 50 19 41 NA
F 68 74 30 48
M 50 40 51 56
M 69 59 25 40
M 60 36 40 28
F 43 14 NA NA
M 43 30 40 14
M 47 68 43 34
F 60 47 40 NA
M 40 68 57 75
M 45 26 38 6
M 45 31 NA NA
F 31 21 32 8
M 49 12 24 14
M 87 40 40 32
M 40 76 49 17
F 8 29 15 14
M 62 46 50 31
M 14 21 NA NA
M 7 25 27 7
M 16 27 25 7
M 73 51 48 23
M 56 54 49 25
M 46 64 13 19

